Year,Event,Player,Team,Value
1913,Stolen Bases,Clyde Milan,Washington,75
1913,Total Bases,Sam Crawford,Detroit,298
1913,Triples,Sam Crawford,Detroit,23
1914,Base on Balls,Donie Bush,Detroit,112
1914,Batting Average,Ty Cobb *,Detroit,.368
1914,Doubles,Tris Speaker,Boston,46
1914,Hits,Tris Speaker,Boston,193
1914,Home Runs,Frank Baker,Philadelphia,9
1914,On Base Percentage,Eddie Collins,Philadelphia,.452
1914,RBI,Sam Crawford,Detroit,104
1914,Runs,Eddie Collins,Philadelphia,122
1914,Slugging Average,Tris Speaker,Boston,.503
1914,Stolen Bases,Fritz Maisel,New York,74
1914,Total Bases,Tris Speaker,Boston,287
1914,Triples,Sam Crawford,Detroit,26
1915,Base on Balls,Eddie Collins,Chicago,119
1915,Batting Average,Ty Cobb,Detroit,.369
1915,Doubles,Bobby Veach,Detroit,40
1915,Hits,Ty Cobb,Detroit,208
1915,Home Runs,Braggo Roth,Chicago,7
1915,On Base Percentage,Ty Cobb,Detroit,.486
1915,RBI,Sam Crawford,Detroit,112
1915,Runs,Ty Cobb,Detroit,144
1915,Slugging Average,Jack Fournier,Chicago,.491
1915,Stolen Bases,Ty Cobb,Detroit,96
1915,Total Bases,Ty Cobb,Detroit,274
1915,Triples,Sam Crawford,Detroit,19
1916,Base on Balls,Burt Shotton,St. Louis,110
1916,Batting Average,Tris Speaker,Cleveland,.386
1916,Doubles,Jack Graney,Cleveland,41
1916,Hits,Tris Speaker,Cleveland,211
1916,Home Runs,Wally Pipp,New York,12
1916,On Base Percentage,Tris Speaker,Cleveland,.470
1916,RBI,Del Pratt,St. Louis,103
1916,Runs,Ty Cobb,Detroit,113
1916,Slugging Average,Tris Speaker,Cleveland,.502
1916,Stolen Bases,Ty Cobb,Detroit,68
1916,Total Bases,Joe Jackson,Chicago,293
1916,Triples,Joe Jackson,Chicago,21
1917,Base on Balls,Jack Graney,Cleveland,94
1917,Batting Average,Ty Cobb,Detroit,.383
1917,Doubles,Ty Cobb,Detroit,44
1917,Hits,Ty Cobb,Detroit,225
1917,Home Runs,Wally Pipp,New York,9
1917,On Base Percentage,Ty Cobb,Detroit,.444
1917,RBI,Bobby Veach,Detroit,103
1917,Runs,Donie Bush,Detroit,112
1917,Slugging Average,Ty Cobb,Detroit,.570
1917,Stolen Bases,Ty Cobb,Detroit,55
1917,Total Bases,Ty Cobb,Detroit,335
1917,Triples,Ty Cobb,Detroit,24
1918,Base on Balls,Ray Chapman,Cleveland,84
1918,Batting Average,Ty Cobb,Detroit,.382
1918,Doubles,Tris Speaker,Cleveland,33
1918,Hits,George Burns,Philadelphia,178
1918,Home Runs,Babe Ruth,Boston,11
1918,On Base Percentage,Ty Cobb,Detroit,.440
1918,RBI,Bobby Veach,Detroit,78
1918,Runs,Ray Chapman,Cleveland,84
1918,Slugging Average,Babe Ruth,Boston,.555
1918,Stolen Bases,George Sisler,St. Louis,45
1918,Total Bases,George Burns,Philadelphia,236
1918,Triples,Ty Cobb,Detroit,14
1919,Base on Balls,Jack Graney,Cleveland,105
1919,Batting Average,Ty Cobb,Detroit,.384
1919,Doubles,BobbyVeach,Detroit,45
1919,Hits,Ty Cobb,Detroit,191
1919,Home Runs,Babe Ruth,Boston,29
1919,On Base Percentage,Babe Ruth,Boston,.456
1919,RBI,Babe Ruth,Boston,114
1919,Runs,Babe Ruth,Boston,103
1919,Slugging Average,Babe Ruth,Boston,.657
1919,Stolen Bases,Eddie Collins,Chicago,33
1919,Total Bases,Babe Ruth,Boston,284
1919,Triples,BobbyVeach,Detroit,17
1920,Base on Balls,Babe Ruth,New York,150
1920,Batting Average,George Sisler,St. Louis,.407
1920,Doubles,Tris Speaker,Cleveland,50
1920,Hits,George Sisler,St. Louis,257
1920,Home Runs,Babe Ruth,New York,54
1920,On Base Percentage,Babe Ruth,New York,.532
1920,RBI,Babe Ruth,New York,137
1920,Runs,Babe Ruth,New York,158
1920,Slugging Average,Babe Ruth,New York,.847
1920,Stolen Bases,Sam Rice,Washington,63
1920,Total Bases,George Sisler,St. Louis,399
1920,Triples,Joe Jackson,Chicago,20
1921,Base on Balls,Babe Ruth,New York,145
1921,Batting Average,Harry Heilmann,Detroit,.394
1921,Doubles,Tris Speaker,Cleveland,52
1921,Hits,Harry Heilmann,Detroit,237
1921,Home Runs,Babe Ruth,New York,59
1921,On Base Percentage,Babe Ruth,New York,.512
1921,RBI,Babe Ruth,New York,171
1921,Runs,Babe Ruth,New York,177
1921,Slugging Average,Babe Ruth,New York,.846
1921,Stolen Bases,George Sisler,St. Louis,35
1921,Total Bases,Babe Ruth,New York,457
1921,Triples,Howie Shanks,Washington,18
1922,Base on Balls,Whitey Witt,New York,89
1922,Batting Average,George Sisler,St. Louis,.420
1922,Doubles,Tris Speaker,Cleveland,48
1922,Hits,George Sisler,St. Louis,246
1922,Home Runs,Ken Williams,St. Louis,39
1922,On Base Percentage,Tris Speaker,Cleveland,.474
1922,RBI,Ken Williams,St. Louis,155
1922,Runs,George Sisler,St. Louis,134
1922,Slugging Average,Babe Ruth,New York,.672
1922,Stolen Bases,George Sisler,St. Louis,51
1922,Total Bases,Ken Williams,St. Louis,367
1922,Triples,George Sisler,St. Louis,18
1923,Base on Balls,Babe Ruth,New York,170
1923,Batting Average,Harry Heilmann,Detroit,.403
1923,Doubles,Tris Speaker,Cleveland,59
1923,Hits,Charlie Jamieson,Cleveland,222
1923,Home Runs,Babe Ruth,New York,41
1923,On Base Percentage,Babe Ruth,New York,.545
1923,RBI,Babe Ruth,New York,131
1923,Runs,Babe Ruth,New York,151
1923,Slugging Average,Babe Ruth,New York,.764
1923,Stolen Bases,Eddie Collins,Chicago,48
1923,Total Bases,Babe Ruth,New York,399
1923,Triples,Goose Goslin,Washington,18
1924,Base on Balls,Babe Ruth,New York,142
1924,Batting Average,Babe Ruth,New York,.378
1924,Doubles,Harry Heilmann,Detroit,45
1924,Hits,Sam Rice,Washington,216
1924,Home Runs,Babe Ruth,New York,46
1924,On Base Percentage,Babe Ruth,New York,.513
1924,RBI,Goose Goslin,Washington,129
1924,Runs,Babe Ruth,New York,143
1924,Slugging Average,Babe Ruth,New York,.739
1924,Stolen Bases,Eddie Collins,Chicago,42
1924,Total Bases,Babe Ruth,New York,391
1924,Triples,Wally Pipp,New York,19
1925,Base on Balls,Willie Kamm,Chicago,90
1925,Batting Average,Harry Heilmann,Detroit,.393
1925,Doubles,Marty McManus,St. Louis,44
1925,Hits,Al Simmons,Philadelphia,253
1925,Home Runs,Bob Meusel,New York,33
1925,On Base Percentage,Tris Speaker,Cleveland,.479
